기관코드,전체기관명,최하위기관명,폐지구분,등록자
7530525,경기도교육청 죽전고등학교,죽전고등학교,현존,
7530526,경기도교육청 진건고등학교,진건고등학교,현존,
7530527,경기도교육청 토평고등학교,토평고등학교,현존,
7530528,경기도교육청 성문고등학교,성문고등학교,현존,
7530531,경기도교육청 율면고등학교,율면고등학교,현존,
7530534,경기도교육청 경일고등학교,경일고등학교,현존,
7530535,경기도교육청 경화여자고등학교,경화여자고등학교,현존,
7530536,경기도교육청 동두천정보산업고등학교,동두천정보산업고등학교,현존,
7530538,경기도교육청 이천양정여자고등학교,이천양정여자고등학교,현존,
7530539,경기도교육청 한국조리과학고등학교,한국조리과학고등학교,현존,
7530542,경기도교육청 광동고등학교,광동고등학교,현존,
7530543,경기도교육청 남양주공업고등학교,남양주공업고등학교,현존,
7530544,경기도교육청 동두천중앙고등학교,동두천중앙고등학교,현존,
7530545,경기도교육청 보영여자고등학교,보영여자고등학교,현존,
7530546,경기도교육청 심석고등학교,심석고등학교,현존,
7530547,경기도교육청 안산여자정보고등학교,안산여자정보고등학교,현존,
7530548,경기도교육청 야탑고등학교,야탑고등학교,현존,
7530549,경기도교육청 여주여자고등학교,여주여자고등학교,현존,
7530550,경기도교육청 청학고등학교,청학고등학교,현존,
7530551,경기도교육청 경기대명고등학교,경기대명고등학교,현존,
7530552,경기도교육청 고양외국어고등학교,고양외국어고등학교,현존,
7530553,경기도교육청 관양고등학교,관양고등학교,현존,
7530554,경기도교육청 대평고등학교,대평고등학교,현존,
7530555,경기도교육청 덕산고등학교,덕산고등학교,현존,
7530557,경기도교육청 수택고등학교,수택고등학교,현존,
7530558,경기도교육청 양지고등학교,양지고등학교,현존,
7530559,경기도교육청 한국도예고등학교,한국도예고등학교,현존,
7530560,경기도교육청 한국디지털미디어고등학교,한국디지털미디어고등학교,현존,
7530569,경기도교육청 경기예술고등학교,경기예술고등학교,현존,
7530570,경기도교육청 시흥고등학교,시흥고등학교,현존,
7530571,경기도교육청 상우고등학교,상우고등학교,현존,
7530572,경기도교육청 운천고등학교,운천고등학교,현존,
7530573,경기도교육청 송호고등학교,송호고등학교,현존,
7530574,경기도교육청 서원고등학교,서원고등학교,현존,
7530575,경기도교육청 부용고등학교,부용고등학교,현존,
7530576,경기도교육청 고양고등학교,고양고등학교,현존,
7530577,경기도교육청 상동고등학교,상동고등학교,현존,
7530578,경기도교육청 평택여자고등학교,평택여자고등학교,현존,
7530579,경기도교육청 연천고등학교,연천고등학교,현존,
7530580,경기도교육청 전곡고등학교,전곡고등학교,현존,
7530581,경기도교육청 양평고등학교,양평고등학교,현존,
7530582,경기도교육청 이천제일고등학교,이천제일고등학교,현존,
7530583,경기도교육청 여주제일고등학교,여주제일고등학교,현존,
7530584,경기도교육청 화성고등학교,화성고등학교,현존,
7530586,경기도교육청 여강고등학교,여강고등학교,현존,
7530587,경기도교육청 이우고등학교,이우고등학교,현존,
7530588,경기도교육청 양서고등학교,양서고등학교,현존,
7530591,경기도교육청 성일정보고등학교,성일정보고등학교,현존,
7530592,경기도교육청 근명여자정보고등학교,근명여자정보고등학교,현존,
7530593,경기도교육청 남문고등학교,남문고등학교,현존,
7530594,경기도교육청 안중고등학교,안중고등학교,현존,
7530595,경기도교육청 진위고등학교,진위고등학교,현존,
7530596,경기도교육청 파주여자고등학교,파주여자고등학교,현존,
7530597,경기도교육청 문산여자고등학교,문산여자고등학교,현존,
7530598,경기도교육청 분당영덕여자고등학교,분당영덕여자고등학교,현존,
7530600,경기도교육청 태광고등학교,태광고등학교,현존,
7530601,경기도교육청 효명고등학교,효명고등학교,현존,
